Case	Hits	Rank	RMSD
1AHW	0	2389	2.41
1BVK	1	1308	2.11
1DQJ	0	9666	2.10
1E6J	93	7	2.37
1JPS	0	2953	1.60
1MLC	11	111	1.30
1VFB	0	2852	1.89
1WEJ	19	127	1.08
2FD6	53	18	2.31
2I25	173	6	2.33
2VIS	5	593	2.45
1BJ1	250	1	1.38
1FSK	111	2	0.89
1I9R	12	87	2.30
1IQD	117	4	2.12
1K4C	0	14925	1.11
1KXQ	30	24	1.20
1NCA	7	617	1.08
1NSN	0	11141	1.18
1QFW	0	3736	1.19
2QFW	77	57	2.17
2JEL	81	116	1.55
1AVX	53	38	2.02
1AY7	0	7165	2.17
1BVN	130	2	2.00
1CGI	15	107	2.43
1CLV	192	1	1.74
1D6R	0	--	--
1DFJ	89	2	2.26
1E6E	68	65	2.23
1EAW	15	129	1.46
1EWY	38	85	2.41
1EZU	1	1505	1.97
1F34	7	52	2.49
1FLE	0	3174	2.46
1GL1	3	703	1.48
1GXD	6	384	2.16
1HIA	0	15015	2.31
1JTG	127	1	1.26
1MAH	84	1	0.74
1N8O	102	1	1.46
1OC0	2	1113	2.42
1OPH	0	32401	2.37
1OYV	53	2	1.80
BOYV	0	--	--
1PPE	364	1	1.45
1R0R	8	479	1.14
1TMQ	68	33	1.86
1UDI	14	22	2.20
1YVB	160	3	1.35
2ABZ	4	260	2.26
2B42	59	2	1.12
2J0T	0	40488	2.33
2MTA	14	500	2.04
2O8V	0	9507	2.49
2OUL	168	1	1.01
2PCC	0	2628	2.36
2SIC	126	3	1.59
2SNI	4	795	2.45
2UUY	0	4083	1.80
3SGQ	2	1473	1.42
4CPA	282	1	1.46
7CEI	136	2	2.19
1A2K	0	5870	2.34
1AK4	0	15771	2.07
1AKJ	1	1533	1.83
1AZS	186	4	1.90
1B6C	41	4	2.33
1BUH	35	246	2.40
1E96	3	1586	2.16
1EFN	0	20189	2.49
1F51	29	12	1.41
1FC2	0	--	--
1FCC	0	--	--
1FFW	0	7674	2.30
1FQJ	0	34496	2.38
1GCQ	0	3945	1.27
1GHQ	0	--	--
1GLA	0	6382	1.63
1GPW	9	436	2.22
1H9D	6	770	1.91
1HCF	12	38	2.26
1HE1	3	444	2.29
1I4D	7	198	2.18
1J2J	15	386	2.44
1JWH	77	5	2.23
1K74	45	1	2.14
1KAC	0	8450	1.62
1KLU	0	7889	1.18
1KTZ	0	9049	1.49
1KXP	56	1	2.12
1ML0	74	1	2.02
1OFU	12	396	1.60
1PVH	0	9061	2.24
1QA9	0	39642	1.57
1RLB	169	23	2.14
1RV6	128	6	1.37
1S1Q	0	4244	1.45
1SBB	0	13605	1.34
1T6B	10	561	1.67
1US7	1	1459	2.28
1WDW	91	1	1.42
1XD3	47	61	2.30
1XU1	19	591	2.01
1Z0K	57	2	1.89
1Z5Y	34	78	2.24
1ZHH	0	--	--
1ZHI	33	73	1.88
2A5T	0	--	--
2A9K	0	36759	1.44
2AJF	0	10387	2.03
2AYO	22	123	2.01
2B4J	0	52682	2.40
2BTF	11	125	2.38
2FJU	2	1123	2.40
2G77	52	16	1.72
2HLE	4	377	2.37
2HQS	0	38331	2.09
2OOB	0	20455	2.36
2OOR	0	4017	2.38
2VDB	39	19	1.20
3BP8	3	1704	2.42
3D5S	22	89	1.05
1BGX	0	--	--
1ACB	0	--	--
1IJK	7	519	1.31
1JIW	0	--	--
1KKL	0	37290	2.41
1M10	0	--	--
1NW9	0	--	--
1GP2	5	570	2.36
1GRN	0	4608	2.50
1HE8	0	--	--
1I2M	0	4070	2.42
1IB1	0	--	--
1K5D	5	478	2.45
1LFD	5	1155	2.42
1MQ8	0	30326	2.02
1N2C	0	--	--
1R6Q	0	3405	2.48
1SYX	0	3476	2.22
1WQ1	7	11	2.28
1XQS	28	30	2.38
1ZM4	0	2060	2.45
2CFH	95	1	1.99
2H7V	22	27	2.44
2HRK	4	768	2.40
2J7P	0	--	--
2NZ8	0	19504	2.43
2OZA	0	--	--
2Z0E	0	--	--
3CPH	0	26760	2.46
1E4K	0	--	--
2HMI	0	--	--
1F6M	0	--	--
1FQ1	0	--	--
1PXV	0	--	--
1ZLI	0	--	--
2O3B	0	--	--
1ATN	0	--	--
1BKD	0	--	--
1DE4	0	--	--
1EER	0	--	--
1FAK	0	--	--
1H1V	0	--	--
1IBR	0	--	--
1IRA	0	--	--
1JK9	0	--	--
1JMO	0	--	--
1JZD	0	--	--
1R8S	0	--	--
1Y64	0	--	--
2C0L	0	--	--
2I9B	0	--	--
2IDO	0	--	--
2OT3	0	--	--
